Season,Tm,FG,FGA,FG%,3P,3PA,3P%,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.)
2012-13,GSW,38.2,83.4,0.458,8,19.9,0.403,37.11,16.15,22.88,23.55,0.31,13
2011-12,GSW,37.7,82.5,0.457,7.9,20.5,0.388,39.48,12.13,23.55,24.6,0.24,12.89
2010-11,GSW,39.6,85.9,0.461,8.4,21.3,0.392,40.96,12.74,21.41,24.58,0.32,12.56
2009-10,GSW,40.6,86.5,0.469,7.7,20.6,0.375,38.07,12.53,25.61,23.5,0.28,12.86
2008-09,GSW,39.4,86,0.458,6.7,18,0.373,42.03,11.88,25.18,20.58,0.33,12.14
2007-08,GSW,41.5,90.3,0.459,9.3,26.6,0.348,44.52,8.93,17.22,28.97,0.36,12.31
2006-07,GSW,39.8,86,0.463,8.5,24,0.356,45.4,9.49,17.21,27.62,0.27,11.93
2005-06,GSW,35.8,82.7,0.433,7.6,22.3,0.341,41.3,10.57,21.19,26.72,0.22,12.67
2004-05,GSW,36.9,85.8,0.43,7.6,21.6,0.352,38.41,11.62,24.75,25.06,0.16,12.92
2003-04,GSW,35.1,79.4,0.442,5.2,15.6,0.334,43.96,14.58,21.79,19.35,0.32,11.5
2002-03,GSW,37.3,84.6,0.441,5.2,15.1,0.344,44.42,15.66,22.06,17.7,0.17,11.24
2001-02,GSW,36.6,85.2,0.429,3.9,12.1,0.322,49.86,14.52,21.3,14.06,0.26,10.25
2000-01,GSW,35.8,87.5,0.409,3.4,11.8,0.293,42.09,20.45,24.06,13.21,0.2,11.1
1999-00,GSW,36.5,87.1,0.42,4.2,13,0.323,44.6,18.11,22.33,14.81,0.16,10.9
1998-99,GSW,34.6,83.5,0.415,3.2,11.3,0.287,41.86,20.7,24.25,13.01,0.2,11.2
1997-98,GSW,34.7,83.9,0.413,2.3,8.5,0.272,40.93,23.85,25.16,9.83,0.24,10.81
1996-97,GSW,36.5,80.1,0.456,5.9,16.6,0.353,42.26,19.35,29.05,9.27,0.08,10.93
1995-96,GSW,37.3,81.7,0.456,5.5,14.6,0.373,0,0,0,0,0,0
1994-95,GSW,39.2,83.8,0.468,6.7,19.5,0.341,0,0,0,0,0,0
1993-94,GSW,42.8,87.1,0.492,3.5,10.5,0.339,0,0,0,0,0,0
1992-93,GSW,42.4,88,0.482,3.6,10.4,0.35,0,0,0,0,0,0
1991-92,GSW,45.9,90.6,0.507,3.1,9.3,0.333,0,0,0,0,0,0
1990-91,GSW,43.5,89.6,0.485,3.3,9.8,0.337,0,0,0,0,0,0
1989-90,GSW,42.5,87.9,0.484,3,9.1,0.324,0,0,0,0,0,0
1988-89,GSW,45.5,97.3,0.468,2.4,7.7,0.308,0,0,0,0,0,0
1987-88,GSW,42.2,90.3,0.468,1.1,3.8,0.292,0,0,0,0,0,0
1986-87,GSW,43.3,90.4,0.479,1.4,4.4,0.319,0,0,0,0,0,0
1985-86,GSW,44.5,92.3,0.482,1.1,3.4,0.313,0,0,0,0,0,0
1984-85,GSW,42.7,92.1,0.463,1.4,4.8,0.282,0,0,0,0,0,0
1983-84,GSW,42.9,91.9,0.467,0.7,2.8,0.243,0,0,0,0,0,0
1982-83,GSW,44.2,91.6,0.483,0.4,1.8,0.227,0,0,0,0,0,0
1981-82,GSW,44.5,89.6,0.496,1.1,4,0.28,0,0,0,0,0,0
1980-81,GSW,43.4,88.8,0.489,0.7,2.6,0.286,0,0,0,0,0,0
1979-80,GSW,43,89.2,0.482,0.3,1.5,0.223,0,0,0,0,0,0
2016-17,HOU,39.6,85.1,0.465,13.8,36.6,0.378,44.09,7.05,5.88,42.72,0.26,13.4
2015-16,HOU,37.7,83.5,0.452,10.7,30.9,0.347,45.78,9.03,8.17,36.6,0.41,12.55
2014-15,HOU,37,83.3,0.444,11.4,32.7,0.348,46.31,7.65,6.73,39.06,0.25,12.71
2013-14,HOU,38,80.5,0.472,9.5,26.6,0.358,52.38,8.06,6.59,32.8,0.17,11.46
2012-13,HOU,38.1,82.7,0.461,10.6,28.9,0.366,47.18,7.34,10.56,34.74,0.18,12.3
2011-12,HOU,37.7,84,0.449,7.2,20.2,0.359,40.4,16.76,18.86,23.82,0.16,12.25
2010-11,HOU,38.7,85.1,0.454,8.3,22.5,0.367,41.92,13.93,17.75,26.14,0.26,12.4
2009-10,HOU,37.7,84.4,0.447,7.9,22.4,0.351,43.52,13.47,16.47,26.28,0.26,11.65
2008-09,HOU,36.1,79.6,0.453,7.6,20.2,0.375,41.9,16.12,16.58,24.93,0.46,11.96
2007-08,HOU,36.6,81.7,0.448,7.1,20.8,0.342,39.38,14.54,20.63,25.19,0.25,12.32
2006-07,HOU,35.4,79.6,0.445,8.6,23.1,0.372,37.64,14.86,18.55,28.81,0.14,12.85
2005-06,HOU,33,76.2,0.433,5.7,17.2,0.332,38.66,16.28,22.52,22.36,0.18,12.23
2004-05,HOU,34.7,78.3,0.443,6.7,18.5,0.364,34.91,15.84,25.61,23.4,0.23,13.04
2003-04,HOU,33.4,75.5,0.442,6.3,17.1,0.366,37.23,18.98,21.1,22.31,0.38,12.34
2002-03,HOU,34.6,78.8,0.44,5.4,15.5,0.346,40.43,17.12,22.89,19.16,0.4,11.72
2001-02,HOU,34.6,80.8,0.428,6,18,0.335,37.36,13.28,27.1,21.97,0.3,12.61
2000-01,HOU,35.9,79.2,0.453,6.1,17.2,0.357,41.02,16.61,20.52,21.52,0.33,11.83
1999-00,HOU,36.6,81.3,0.45,7.1,19.8,0.358,45.87,13.41,16.45,24.04,0.22,11.29
1998-99,HOU,35.1,76,0.462,6.7,18.3,0.368,43.18,18.53,14.1,24.02,0.17,11.44
1997-98,HOU,35.9,79.4,0.452,7,20.4,0.343,41.44,19.01,14.65,24.72,0.18,11.7
1996-97,HOU,37,79.1,0.468,8.2,22.4,0.365,44.6,18.21,24.46,12.46,0.26,10.95
1995-96,HOU,37.5,81,0.464,7.8,21.5,0.362,0,0,0,0,0,0
1994-95,HOU,38.5,80.2,0.48,7.9,21.4,0.368,0,0,0,0,0,0
1993-94,HOU,39,82.1,0.475,5.2,15.7,0.334,0,0,0,0,0,0
1992-93,HOU,40,82.2,0.486,4.7,13.1,0.361,0,0,0,0,0,0
1991-92,HOU,39.9,84.1,0.475,4,11.7,0.343,0,0,0,0,0,0
1990-91,HOU,41.5,88.9,0.467,3.9,12.1,0.32,0,0,0,0,0,0
1989-90,HOU,42.5,88.4,0.48,1.9,6,0.312,0,0,0,0,0,0
1988-89,HOU,41.6,87.8,0.474,2,6.4,0.314,0,0,0,0,0,0
1987-88,HOU,42.3,89.7,0.471,0.8,3.5,0.237,0,0,0,0,0,0
1986-87,HOU,42.3,88.6,0.477,1.1,4,0.275,0,0,0,0,0,0
1985-86,HOU,45.8,93.5,0.49,1,3.8,0.274,0,0,0,0,0,0
1984-85,HOU,45.7,90.7,0.504,0.5,2.3,0.22,0,0,0,0,0,0
1983-84,HOU,45.5,91.9,0.495,0.4,1.9,0.195,0,0,0,0,0,0
1982-83,HOU,40.7,90.8,0.448,0.8,3.3,0.247,0,0,0,0,0,0
1981-82,HOU,42.7,89.8,0.476,0.6,2.1,0.284,0,0,0,0,0,0
1980-81,HOU,43.6,89.5,0.487,0.3,1.4,0.178,0,0,0,0,0,0
1979-80,HOU,43.9,91.4,0.48,1.3,4.6,0.274,0,0,0,0,0,0
2016-17,IND,40.1,87.9,0.456,7.9,22.5,0.351,40.41,13.59,20.75,24.95,0.3,12.63
2015-16,IND,38.3,85.2,0.45,8.1,23,0.351,37.32,13.85,21.88,26.66,0.3,13.15
2014-15,IND,36.6,83.2,0.439,7.5,21.2,0.352,37.81,14.46,22.23,25.22,0.28,13
2013-14,IND,36,80.2,0.449,6.7,18.8,0.357,39.71,16.36,20.48,23.17,0.27,12.49
2012-13,IND,35.1,80.6,0.436,6.9,19.7,0.347,42.18,15.53,17.8,24.13,0.37,12.23
2011-12,IND,35.7,81.4,0.438,5.9,16.1,0.368,44.98,16.6,18.65,19.56,0.22,11.37
2010-11,IND,36.6,82.8,0.442,7.1,20.2,0.354,39.15,15.18,21.32,24.14,0.21,12.7
2009-10,IND,36.8,83.2,0.443,8,23.1,0.348,38.18,13.17,20.89,27.55,0.22,12.99
2008-09,IND,39.3,86.3,0.455,8,21,0.378,39.82,13.49,22.37,24.07,0.25,12.46
2007-08,IND,37.8,85.3,0.444,9.2,24.6,0.374,35.15,14.37,21.64,28.54,0.3,13.54
2006-07,IND,35,80,0.438,5.9,16.9,0.346,38.59,18.85,21.33,20.92,0.31,12.14
2005-06,IND,34,76.5,0.444,6.5,18.7,0.349,38.57,17.11,19.84,24.21,0.27,12.44
2004-05,IND,32.5,75.2,0.432,6.6,19.2,0.344,37.11,17.55,19.95,25.2,0.2,12.72
2003-04,IND,33.6,77.1,0.435,5.5,15.6,0.351,39.67,20.44,19.61,20.04,0.24,11.7
2002-03,IND,35.5,80.6,0.441,4.6,13.6,0.339,39.26,21.19,22.64,16.78,0.14,11.62
2001-02,IND,35.8,80.2,0.446,4.9,14.6,0.339,37.64,22.04,22.16,17.83,0.33,11.96
2000-01,IND,34.5,78.4,0.44,4.8,14.1,0.342,37.63,20.28,24.07,17.76,0.26,12.14
1999-00,IND,37.2,81,0.459,7.1,18.1,0.392,37.13,20.49,20.04,22.25,0.09,12.54
1998-99,IND,34.6,77.3,0.448,5.9,16,0.368,37.03,22.72,19.28,20.66,0.3,12.32
1997-98,IND,35.6,75.9,0.469,4.9,12.5,0.39,39.83,20.98,22.68,16.27,0.24,11.6
1996-97,IND,34.8,76.3,0.456,5.2,13.8,0.381,45.19,22.03,23.28,9.34,0.16,10.01
1995-96,IND,36.3,75.7,0.48,4.4,11.9,0.373,0,0,0,0,0,0
1994-95,IND,36.4,76.2,0.477,4.6,12,0.38,0,0,0,0,0,0
1993-94,IND,38.6,79.5,0.486,2.2,6.1,0.368,0,0,0,0,0,0
1992-93,IND,41.1,85.6,0.48,3.1,9.6,0.326,0,0,0,0,0,0
1991-92,IND,42.7,86.3,0.494,4.1,11.5,0.354,0,0,0,0,0,0
1990-91,IND,42.1,85.3,0.493,3,9.1,0.332,0,0,0,0,0,0
1989-90,IND,41.2,83,0.497,3.6,9.4,0.382,0,0,0,0,0,0
1988-89,IND,41.3,84.7,0.487,2.5,7.5,0.328,0,0,0,0,0,0
1987-88,IND,41.9,87.2,0.48,2,5.9,0.336,0,0,0,0,0,0
1986-87,IND,42.1,89.3,0.472,1.1,3.9,0.297,0,0,0,0,0,0
1985-86,IND,42,87.2,0.481,0.3,1.7,0.161,0,0,0,0,0,0
1984-85,IND,42.5,89.3,0.476,0.4,1.9,0.194,0,0,0,0,0,0
1983-84,IND,42,87,0.483,0.6,2.5,0.232,0,0,0,0,0,0
1982-83,IND,45.2,94.2,0.48,0.6,2.9,0.212,0,0,0,0,0,0
1981-82,IND,40.6,87.4,0.465,1.3,3.9,0.326,0,0,0,0,0,0
1980-81,IND,42.6,88.4,0.482,0.4,2.1,0.178,0,0,0,0,0,0
1979-80,IND,44.4,93.8,0.473,1.1,3.8,0.28,0,0,0,0,0,0
1978-79,IND,43.6,91.8,0.475,0,0,0,0,0,0,0,0,0
1977-78,IND,42.7,94.9,0.45,0,0,0,0,0,0,0,0,0
1976-77,IND,43,95.6,0.449,0,0,0,0,0,0,0,0,0
1975-76,INA,44.5,101.5,0.438,3,9.2,0.324,0,0,0,0,0,0
1974-75,INA,46.3,99.6,0.465,2.7,8.5,0.312,0,0,0,0,0,0
1973-74,INA,42.2,93.9,0.45,2,6.5,0.315,0,0,0,0,0,0
1972-73,INA,43.7,94.6,0.461,2,6.6,0.312,0,0,0,0,0,0
1971-72,INA,42.9,92.9,0.461,2.6,8.9,0.293,0,0,0,0,0,0
1970-71,INA,45.2,97.6,0.463,3.6,12.2,0.299,0,0,0,0,0,0
1969-70,INA,42.8,94,0.455,2.6,9.3,0.274,0,0,0,0,0,0
1968-69,INA,44.5,98.8,0.451,1.4,4.7,0.299,0,0,0,0,0,0
1967-68,INA,40.7,94.8,0.429,1.2,4.6,0.267,0,0,0,0,0,0
2016-17,LAC,38.3,83,0.462,9.8,26.3,0.372,38.96,9.68,19.92,31.19,0.25,13.4
2015-16,LAC,38.3,82.4,0.465,9.7,26.7,0.364,34.76,11.58,21.62,31.75,0.29,14.15
2014-15,LAC,39.4,83.3,0.473,10.1,26.9,0.376,33.97,11.91,21.91,32.03,0.18,14.14
2013-14,LAC,39.1,82.5,0.474,8.5,24,0.352,37.79,12.38,20.83,28.83,0.18,13.31
2012-13,LAC,38.5,80.6,0.478,7.6,21.4,0.358,42.63,11.38,19.5,26.32,0.17,12.53
2011-12,LAC,37,81.3,0.455,7.8,21.8,0.357,38.58,11.18,23.41,26.6,0.23,13.26
2010-11,LAC,36.8,80.4,0.457,6.3,18.5,0.338,47.77,10.92,18.42,22.58,0.31,11.57
2009-10,LAC,36.6,80.5,0.455,5.9,17.8,0.332,41.87,15.22,20.8,21.77,0.34,11.69
2008-09,LAC,36,81.7,0.441,6.5,18.5,0.354,42.39,13.22,21.78,22.11,0.51,11.89
2007-08,LAC,34.4,78.6,0.438,4.3,13.2,0.324,34.77,19.4,29.06,16.5,0.27,12.48
2006-07,LAC,35.1,77,0.456,3.8,11,0.348,35.94,24.28,25.45,14.02,0.3,11.82
2005-06,LAC,36.5,78.6,0.465,3.5,10.3,0.344,37.09,25.74,24.2,12.7,0.27,11.49
2004-05,LAC,35.7,77.7,0.459,2.8,8.2,0.345,40.56,19.96,28.97,10.22,0.28,11.05
2003-04,LAC,34.4,80.2,0.428,4,12.5,0.321,45.25,17.37,21.83,15.34,0.21,10.67
2002-03,LAC,34.6,79.1,0.437,4.8,14.4,0.331,45.77,19.12,17.03,17.73,0.34,10.73
2001-02,LAC,36.2,81.3,0.445,5,14,0.356,41.6,25.94,15.27,17.04,0.15,10.94
2000-01,LAC,35.3,78.9,0.448,4.4,13,0.339,43.04,22.1,18.45,16.32,0.09,10.93
1999-00,LAC,35.1,82.4,0.426,5.2,15.5,0.339,40.04,23.9,17.18,18.6,0.28,11.48
1998-99,LAC,34.2,80.1,0.427,4.3,13.4,0.32,46.51,18.44,18.7,16.14,0.21,10.6
1997-98,LAC,35.7,81.6,0.438,6.4,17.9,0.358,44.54,17.15,16.44,21.73,0.14,11.2
1996-97,LAC,36.5,81.7,0.446,5.8,16.3,0.354,44.37,18.91,26.49,10.05,0.18,10.51
1995-96,LAC,38.1,80.7,0.472,6.2,16.8,0.37,0,0,0,0,0,0
1994-95,LAC,37.3,84,0.444,4,12.8,0.315,0,0,0,0,0,0
1993-94,LAC,40.8,87.4,0.467,3.1,10.1,0.303,0,0,0,0,0,0
1992-93,LAC,43.2,89.4,0.484,1.6,6,0.271,0,0,0,0,0,0
1991-92,LAC,40.8,86.3,0.473,1.8,6.1,0.289,0,0,0,0,0,0
1990-91,LAC,41.4,89.2,0.464,1.4,5.3,0.26,0,0,0,0,0,0
1989-90,LAC,40.5,83.6,0.484,0.7,2.8,0.243,0,0,0,0,0,0
1988-89,LAC,43,90.6,0.475,0.7,2.9,0.231,0,0,0,0,0,0
1987-88,LAC,38.9,87.7,0.443,1,3.9,0.249,0,0,0,0,0,0
1986-87,LAC,40.4,89.4,0.452,1,4.2,0.224,0,0,0,0,0,0
1985-86,LAC,41.3,87.4,0.473,0.8,2.8,0.279,0,0,0,0,0,0
1984-85,LAC,43,86.8,0.495,0.7,2.3,0.298,0,0,0,0,0,0
1983-84,SDC,44.3,89.3,0.496,0.3,1.6,0.188,0,0,0,0,0,0
1982-83,SDC,44.2,93.1,0.475,0.8,3.2,0.244,0,0,0,0,0,0
1981-82,SDC,43.3,86.6,0.5,1.2,4.1,0.293,0,0,0,0,0,0
1980-81,SDC,42.4,88.8,0.477,1.6,5,0.324,0,0,0,0,0,0
1979-80,SDC,43,91.4,0.47,2.2,6.6,0.326,0,0,0,0,0,0
2016-17,LAL,39.7,87.1,0.456,9,25.6,0.352,40.71,17.08,12.94,28.92,0.35,12.5
2015-16,LAL,35.1,84.8,0.414,7.8,24.6,0.317,37.85,16.41,16.9,28.49,0.35,13.06
2014-15,LAL,37.2,85.6,0.435,6.5,18.9,0.344,38.58,16.1,23.3,21.89,0.13,12.54
2013-14,LAL,38.3,85.1,0.45,9.4,24.8,0.381,39.17,14.88,16.89,28.96,0.09,13.03
2012-13,LAL,37.1,81,0.458,8.7,24.6,0.355,42.37,11.6,15.74,29.99,0.3,12.84
2011-12,LAL,36.8,80.6,0.457,5.5,16.8,0.326,42.38,16.28,20.44,20.67,0.23,12.02
2010-11,LAL,38.1,82.4,0.463,6.4,18.1,0.352,42.08,16.08,19.91,21.56,0.37,12.22
2009-10,LAL,38.3,83.8,0.457,6.5,19,0.341,41.6,16.61,19.05,22.43,0.31,11.78
2008-09,LAL,40.3,85.1,0.474,6.7,18.5,0.361,42.33,16.38,19.6,21.45,0.23,11.52
2007-08,LAL,39.6,83.1,0.476,8.1,21.4,0.378,40.89,12.13,21.3,25.45,0.23,12.25
2006-07,LAL,37.8,81.3,0.466,7.4,21,0.353,42.04,12.38,19.68,25.58,0.32,12.09
2005-06,LAL,36.5,80.6,0.453,6.7,19.3,0.349,39.34,13.85,22.84,23.7,0.27,12.45
2004-05,LAL,35.3,80.8,0.437,7.9,22.1,0.355,41.82,12.05,18.83,26.79,0.51,12.35
2003-04,LAL,36.9,81.4,0.454,4.5,13.6,0.327,42.98,16.54,23.64,16.57,0.26,11.14
2002-03,LAL,37.7,83.6,0.451,5.9,16.7,0.356,39.54,18.34,22.55,19.31,0.25,11.84
2001-02,LAL,38.4,83.4,0.461,6.2,17.5,0.354,39.61,18.77,20.57,20.81,0.23,11.91
2000-01,LAL,37.9,81.5,0.465,5.4,15.5,0.344,41.09,19.72,20.13,18.82,0.24,11.5
1999-00,LAL,38.3,83.4,0.459,4.2,12.8,0.329,44.5,20.56,19.81,15.03,0.11,10.59
1998-99,LAL,36.8,78.7,0.468,4.8,13.7,0.352,48.26,16.82,17.48,17.23,0.2,10.48
1997-98,LAL,38.4,79.7,0.481,6.1,17.3,0.351,55.33,15.26,7.9,21.33,0.19,9.29
1996-97,LAL,36.8,81,0.454,6.7,18.3,0.367,51.28,16.97,18.34,13.29,0.12,9.47
1995-96,LAL,39.2,81.8,0.48,5.8,16.6,0.351,0,0,0,0,0,0
1994-95,LAL,40,86.4,0.463,6.4,18.2,0.352,0,0,0,0,0,0
1993-94,LAL,40.1,89.2,0.45,2.9,9.8,0.3,0,0,0,0,0,0
1992-93,LAL,40.4,85.3,0.473,2.3,7.6,0.299,0,0,0,0,0,0
1991-92,LAL,38.8,85.1,0.456,1.5,5.4,0.267,0,0,0,0,0,0
1990-91,LAL,40.8,84.3,0.484,2.8,9.1,0.304,0,0,0,0,0,0
1989-90,LAL,41.9,85.5,0.49,3.8,10.3,0.367,0,0,0,0,0,0
1988-89,LAL,43.7,87.1,0.502,2.8,8.1,0.34,0,0,0,0,0,0
1987-88,LAL,43.6,86.3,0.505,1.7,5.8,0.297,0,0,0,0,0,0
1986-87,LAL,45.6,88.4,0.516,2,5.5,0.367,0,0,0,0,0,0
1985-86,LAL,46.8,89.5,0.522,1.7,5,0.337,0,0,0,0,0,0
1984-85,LAL,48.2,88.5,0.545,1.1,3.6,0.305,0,0,0,0,0,0
1983-84,LAL,47,88.4,0.532,0.7,2.8,0.257,0,0,0,0,0,0
1982-83,LAL,48.3,91.6,0.528,0.1,1.2,0.104,0,0,0,0,0,0
1981-82,LAL,47.8,92.5,0.517,0.2,1.1,0.138,0,0,0,0,0,0
1980-81,LAL,46.1,90,0.512,0.2,1.1,0.181,0,0,0,0,0,0
1979-80,LAL,47.5,89.9,0.529,0.2,1.2,0.2,0,0,0,0,0,0
2016-17,MEM,35,82.7,0.423,8.5,25.4,0.336,42.07,12.3,14.98,30.27,0.38,12.84
2015-16,MEM,36.8,83.6,0.44,6.1,18.5,0.331,46.54,14.03,17.28,21.81,0.34,11.35
2014-15,MEM,37.8,82.5,0.458,5.2,15.2,0.339,46.43,17.3,17.92,18.02,0.33,10.95
2013-14,MEM,38.1,82,0.464,4.9,14,0.353,48.24,15.6,19.1,16.78,0.28,10.78
2012-13,MEM,36.1,81.5,0.444,4.7,13.5,0.345,45.59,16.87,20.96,16.38,0.19,11.04
2011-12,MEM,36.7,82.2,0.447,4.2,12.9,0.326,44.61,17.83,21.89,15.2,0.46,11.18
2010-11,MEM,39,82.9,0.471,3.8,11.3,0.334,50.52,15.5,20.36,13.2,0.41,10.27
2009-10,MEM,39.3,83.8,0.469,4.2,12.4,0.337,48.42,16.41,20.33,14.39,0.45,10.13
2008-09,MEM,34.9,77,0.454,4.9,13.5,0.36,44.84,14.98,22.69,17.26,0.22,11.02
2007-08,MEM,37.3,82.2,0.454,7.6,21.7,0.349,42.66,13.2,17.74,25.87,0.53,12.1
2006-07,MEM,36.6,78.6,0.465,6.1,16.6,0.367,45.26,13.17,20.62,20.6,0.35,11.38
2005-06,MEM,33.5,74.7,0.448,7.2,19.2,0.374,44.62,11.87,17.8,25.53,0.18,11.66
2004-05,MEM,34.2,76.5,0.447,6.5,18.1,0.357,47.23,11.5,17.6,23.36,0.3,11.09
2003-04,MEM,36.1,81.2,0.445,5.5,16,0.34,47.84,13.43,19.05,19.29,0.39,10.77
2002-03,MEM,37.2,82.2,0.452,5.7,15.6,0.365,41.9,17.31,21.83,18.7,0.26,11.55
2001-02,MEM,34.8,79.7,0.436,4.1,13.4,0.307,42.95,17.12,23.23,16.48,0.21,11.26
2000-01,VAN,35,79.7,0.439,4,11.5,0.343,36.26,16.94,32.33,14.42,0.05,12.43
1999-00,VAN,35.3,78.5,0.449,4,11,0.361,43.42,20.82,21.87,13.79,0.1,10.78
1998-99,VAN,32.9,76.8,0.428,3,9.1,0.327,47.15,17.65,23.38,11.63,0.19,10.3
1997-98,VAN,36.7,80.1,0.458,4,11,0.362,47.5,18.95,19.88,13.47,0.2,10.14
1996-97,VAN,34.4,78.7,0.437,5.4,15.5,0.349,43.42,20.69,25.06,10.66,0.17,10.43
1995-96,VAN,33.8,79.1,0.428,4.5,13.8,0.329,0,0,0,0,0,0
2016-17,MIA,36.7,86,0.426,8.4,25.5,0.331,45.44,11.38,13.57,29.54,0.06,12.01
2015-16,MIA,38.4,81.7,0.47,6.1,18,0.336,43.43,16.23,18.36,21.69,0.28,11.58
2014-15,MIA,35.2,77.2,0.456,6.8,20.2,0.335,40.09,15.34,18.37,25.89,0.3,12.38
2013-14,MIA,38.3,76.5,0.501,8.1,22.3,0.364,42.53,11.53,16.76,29.05,0.13,12.28
2012-13,MIA,38.4,77.4,0.496,8.7,22.1,0.396,38.83,13.55,19.15,28.3,0.17,12.72
2011-12,MIA,37.1,79,0.469,5.6,15.6,0.359,41.81,16.62,21.8,19.69,0.1,11.58
2010-11,MIA,37,76.8,0.481,6.7,18,0.37,36.11,13.62,26.72,23.34,0.21,13.22
2009-10,MIA,36.4,79.5,0.458,6,17.4,0.346,34.34,18.21,25.58,21.66,0.21,12.67
2008-09,MIA,37,81,0.457,7.1,19.9,0.357,35.73,15.06,24.77,24.06,0.38,12.88
2007-08,MIA,34.2,77.3,0.443,6,16.7,0.358,34.88,14.03,29.45,21.35,0.28,12.99
2006-07,MIA,35.6,76.7,0.464,6.4,18.8,0.343,41.48,12.99,21.15,24.11,0.27,12.07
2005-06,MIA,37.1,77.5,0.478,6.1,17.6,0.345,46.51,13.17,17.69,22.31,0.31,11.04
2004-05,MIA,37.8,77.7,0.486,5.8,15.4,0.377,43.18,15.2,21.88,19.58,0.16,11.14
2003-04,MIA,33.3,78.3,0.425,5.9,16.5,0.357,39.88,15.88,23.17,20.74,0.33,11.91
2002-03,MIA,32.8,79.5,0.412,4.2,13.4,0.316,34.06,19.21,29.86,16.54,0.32,12.48
2001-02,MIA,34.2,77.8,0.439,3.8,11,0.347,33.66,19.96,32.28,13.69,0.41,12.46
2000-01,MIA,32.9,76.3,0.43,5.8,16.9,0.345,36.27,18.26,23.39,21.75,0.32,12.6
1999-00,MIA,36.3,78.8,0.46,5.4,14.7,0.371,36.84,21.81,22.85,18.3,0.2,12.02
1998-99,MIA,32.3,71.3,0.453,5.8,16.1,0.359,37.87,18.46,21.35,22.21,0.11,12.24
1997-98,MIA,34.8,77.2,0.45,6.7,18.8,0.355,41.71,17.32,16.81,23.9,0.26,11.82
1996-97,MIA,34.4,76,0.453,8.3,22.7,0.364,42.76,17.87,24.7,14.45,0.22,11.35
1995-96,MIA,35.4,77.4,0.457,6.7,17.8,0.379,0,0,0,0,0,0
1994-95,MIA,38.3,82.2,0.467,5.3,14.4,0.369,0,0,0,0,0,0
1993-94,MIA,39,84.1,0.464,4.1,12.2,0.338,0,0,0,0,0,0
1992-93,MIA,38.1,83.5,0.456,4.1,11.5,0.354,0,0,0,0,0,0
1991-92,MIA,39.7,86.1,0.461,3.1,9.2,0.342,0,0,0,0,0,0
1990-91,MIA,40,87.1,0.459,1.7,5.7,0.302,0,0,0,0,0,0
1989-90,MIA,41.3,89.6,0.461,1.1,3.7,0.293,0,0,0,0,0,0
1988-89,MIA,39.3,86.8,0.453,1.2,3.6,0.326,0,0,0,0,0,0
2016-17,MIL,39.2,85.8,0.457,8.1,24.3,0.335,49.96,11.23,10.5,28.08,0.22,11.19
2015-16,MIL,38.4,82.2,0.467,5.4,15.6,0.345,52.29,13.75,15.17,18.57,0.22,10.1
2014-15,MIL,37.6,82,0.459,6.6,18.3,0.363,44.86,13.63,19.21,22.2,0.1,11.4
2013-14,MIL,36,82.2,0.438,6.7,18.9,0.353,44.96,13.82,18.17,22.94,0.1,11.62
2012-13,MIL,38.1,87.8,0.435,7.3,20.4,0.36,43.65,14.88,18.26,23.08,0.13,11.72
2011-12,MIL,37.9,85.6,0.443,6.6,19.2,0.345,42.05,15.45,20.21,22.13,0.16,11.86
2010-11,MIL,34.3,79.8,0.43,5.9,17.2,0.342,39.71,16.05,22.63,21.43,0.18,12.29
2009-10,MIL,37.2,85.3,0.436,7.9,22.1,0.356,38.19,14.93,21.01,25.72,0.15,12.59
2008-09,MIL,36.7,82.4,0.445,6.2,17.2,0.363,38.55,16.41,24.18,20.7,0.16,12.05
2007-08,MIL,36.9,82.3,0.449,5.5,16,0.344,43.85,15.76,20.99,19.18,0.21,11.22
2006-07,MIL,38.1,81.9,0.465,6.4,18,0.356,46.22,13.61,18.29,21.73,0.15,11.05
2005-06,MIL,36.3,80.1,0.453,6.2,16.3,0.38,44.87,15.63,19.19,20.26,0.06,11.07
2004-05,MIL,36.1,80.2,0.45,4,11.3,0.351,42.43,21.16,22.37,13.88,0.17,10.72
2003-04,MIL,36.2,81.1,0.447,4.9,14,0.35,42.53,22.29,17.88,17.13,0.17,10.86
2002-03,MIL,37.1,81.3,0.457,7.1,18.6,0.383,35.66,23.68,17.79,22.67,0.2,12.23
2001-02,MIL,37.1,80.2,0.462,7.2,19.3,0.375,32.21,27.72,16.06,23.71,0.3,12.75
2000-01,MIL,38,82.9,0.458,6.9,18.1,0.379,30.32,30.01,17.89,21.49,0.29,12.76
1999-00,MIL,38.7,83.3,0.465,4.8,13,0.369,32.39,32.83,19.16,15.32,0.31,11.79
1998-99,MIL,35.1,76.4,0.459,4.6,12.4,0.373,37.62,24.32,21.81,16.06,0.2,11.45
1997-98,MIL,35.6,78,0.456,3,8.6,0.354,38.85,26.53,23.56,10.7,0.35,11.05
1996-97,MIL,36.2,76.9,0.471,4,11.2,0.352,45.44,26.97,17.59,9.84,0.16,9.56
1995-96,MIL,37,79.1,0.467,4.4,12.9,0.338,0,0,0,0,0,0
1994-95,MIL,36.9,80.3,0.459,6,16.5,0.366,0,0,0,0,0,0
